
2025/04/01 (18:05:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (18:07:17) | ===> btop++ v.1.4.0
2025/04/01 (18:07:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (22:22:57) | ===> btop++ v.1.4.0
2025/04/01 (22:22:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (22:23:15) | ===> btop++ v.1.4.0
2025/04/01 (22:23:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (22:23:18) | ===> btop++ v.1.4.0
2025/04/01 (22:23:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/01 (22:26:44) | ===> btop++ v.1.4.0
2025/04/01 (22:26:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/03 (19:00:43) | ===> btop++ v.1.4.0
2025/04/03 (19:00:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/03 (20:25:26) | ===> btop++ v.1.4.0
2025/04/03 (20:25:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/03 (20:25:39) | ===> btop++ v.1.4.0
2025/04/03 (20:25:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/04 (00:01:30) | ===> btop++ v.1.4.0
2025/04/04 (00:01:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/07 (23:35:27) | ===> btop++ v.1.4.0
2025/04/07 (23:35:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/08 (00:10:06) | ===> btop++ v.1.4.0
2025/04/08 (00:10:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/08 (00:12:42) | ===> btop++ v.1.4.0
2025/04/08 (00:12:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (01:09:18) | ===> btop++ v.1.4.0
2025/04/09 (01:09:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/09 (23:24:03) | ===> btop++ v.1.4.0
2025/04/09 (23:24:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/11 (10:08:47) | ===> btop++ v.1.4.0
2025/04/11 (10:08:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/12 (00:36:50) | ===> btop++ v.1.4.0
2025/04/12 (00:36:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/13 (22:46:01) | ===> btop++ v.1.4.0
2025/04/13 (22:46:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/18 (21:41:31) | ===> btop++ v.1.4.0
2025/04/18 (21:41:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/20 (00:03:09) | ===> btop++ v.1.4.0
2025/04/20 (00:03:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/24 (11:40:45) | ===> btop++ v.1.4.0
2025/04/24 (11:40:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/27 (14:36:22) | ===> btop++ v.1.4.0
2025/04/27 (14:36:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/27 (14:36:32) | ===> btop++ v.1.4.0
2025/04/27 (14:36:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/27 (14:36:45) | ===> btop++ v.1.4.0
2025/04/27 (14:36:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/27 (19:05:03) | ===> btop++ v.1.4.0
2025/04/27 (19:05:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/27 (19:05:13) | ===> btop++ v.1.4.0
2025/04/27 (19:05:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/27 (19:05:16) | ===> btop++ v.1.4.0
2025/04/27 (19:05:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (00:52:13) | ===> btop++ v.1.4.0
2025/04/29 (00:52:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/04/29 (01:21:26) | ===> btop++ v.1.4.0
2025/04/29 (01:21:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/29 (01:21:40) | WARNING: Failed to join _runner thread on exit!

2025/05/09 (01:10:37) | ===> btop++ v.1.4.0
2025/05/09 (01:10:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/12 (14:41:14) | ===> btop++ v.1.4.0
2025/05/12 (14:41:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/13 (15:29:56) | ===> btop++ v.1.4.0
2025/05/13 (15:29:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/19 (15:48:17) | ===> btop++ v.1.4.0
2025/05/19 (15:48:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/23 (16:37:17) | ===> btop++ v.1.4.0
2025/05/23 (16:37:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/23 (17:02:04) | ===> btop++ v.1.4.0
2025/05/23 (17:02:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/23 (17:39:32) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (17:51:34) | ===> btop++ v.1.4.0
2025/05/28 (17:51:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/28 (18:07:40) | ===> btop++ v.1.4.0
2025/05/28 (18:07:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/28 (18:21:35) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (20:16:08) | ===> btop++ v.1.4.0
2025/05/28 (20:16:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/29 (00:09:57) | ===> btop++ v.1.4.0
2025/05/29 (00:09:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/05/29 (00:10:23) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (00:21:32) | ===> btop++ v.1.4.0
2025/05/29 (00:21:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/29 (00:26:07) | ===> btop++ v.1.4.0
2025/05/29 (00:26:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/29 (21:22:50) | ===> btop++ v.1.4.0
2025/05/29 (21:22:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/29 (22:04:14) | ===> btop++ v.1.4.0
2025/05/29 (22:04:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/29 (22:18:05) | ===> btop++ v.1.4.0
2025/05/29 (22:18:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/03 (21:13:40) | ===> btop++ v.1.4.0
2025/06/03 (21:13:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/05 (16:45:34) | ===> btop++ v.1.4.0
2025/06/05 (16:45:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/07 (15:56:03) | ===> btop++ v.1.4.0
2025/06/07 (15:56:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/10 (14:13:24) | ===> btop++ v.1.4.0
2025/06/10 (14:13:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/16 (22:26:10) | ===> btop++ v.1.4.0
2025/06/16 (22:26:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/06/18 (00:08:22) | ===> btop++ v.1.4.0
2025/06/18 (00:08:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/18 (00:08:40) | WARNING: Failed to join _runner thread on exit!

2025/06/23 (17:59:44) | ===> btop++ v.1.4.0
2025/06/23 (17:59:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/23 (18:00:32) | WARNING: Failed to join _runner thread on exit!

2025/06/23 (18:45:11) | ===> btop++ v.1.4.0
2025/06/23 (18:45:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/23 (18:45:31) | WARNING: Failed to join _runner thread on exit!

2025/06/23 (18:45:32) | ===> btop++ v.1.4.0
2025/06/23 (18:45:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/06/23 (18:45:37) | WARNING: Failed to join _runner thread on exit!

2025/06/24 (19:51:28) | ===> btop++ v.1.4.0
2025/06/24 (19:51:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

